Country, GDP
Afghanistan,15936800636.20
Afghanistan,2461666314.80
Afghanistan,20536542736.70
Afghanistan,20841951232.00
Afghanistan,6275076016.50
Afghanistan,17930239399.80
Afghanistan,10190529882.50
Afghanistan,12486943505.70
Afghanistan,4583648921.60
Afghanistan,7057598406.60
Afghanistan,3478787909.80
Afghanistan,3641723447.20
Afghanistan,20310881087.00
Afghanistan,5285461999.30
Afghanistan,9843842455.50
Afghanistan,4128818042.30
Albania,2156624900.00
Albania,1985673026.00
Albania,2101624962.50
Albania,709452572.30
Albania,4091020249.20
Albania,2424498953.30
Albania,1965384586.20
Albania,2727745453.20
Albania,2126000000.00
Albania,13370191506.00
Albania,4449373455.30
Albania,3013217853.00
Albania,3686649386.80
Albania,1924242453.00
Albania,11926957254.60
Albania,1139166676.00
Albania,12916669735.70
Albania,7464446950.20
Albania,2196223713.70
Albania,2173750012.50
Albania,1228071037.80
Albania,12890866742.70
Albania,12881353507.90
Albania,8376668351.80
Albania,2335124987.50
Albania,12044208085.90
Albania,9132558096.90
Albania,3434402453.30
Albania,5652325081.80
Albania,12344529628.10
Albania,10701011524.10
Algeria,62045098370.10
Algeria,54790058957.40
Algeria,103198217432.00
Algeria,199070864637.60
Algeria,171000692134.70
Algeria,117027277939.30
Algeria,48177861890.90
Algeria,214063173187.60
Algeria,48801372227.60
Algeria,48003297248.90
Algeria,45715368144.00
Algeria,137211008420.80
Algeria,161207304960.50
Algeria,57937867717.50
Algeria,59089065516.90
Algeria,54744716706.40
Algeria,42345276287.60
Algeria,56760288961.60
Algeria,44348670724.10
Algeria,134977088396.40
Algeria,210183410526.10
Algeria,48640613515.10
Algeria,55631488293.90
Algeria,45207090667.90
Algeria,41764054034.70
Algeria,53698280322.60
Algeria,66742269089.70
Algeria,49946456681.20
Algeria,85324997369.50
Algeria,42542573602.20
Algeria,48187780126.20
Algeria,46941496308.30
Algeria,204331017992.10
Algeria,67863832648.30
Algeria,63696299985.00
Andorra,1211953953.60
Andorra,2916913449.20
Andorra,1224023415.70
Andorra,1017544675.50
Andorra,346742877.50
Andorra,1178745314.30
Andorra,375914806.20
Andorra,446377569.60
Andorra,4001349339.60
Andorra,1717563532.70
Andorra,1028989389.70
Andorra,3536451645.60
Andorra,1209992649.60
Andorra,1180646068.30
Andorra,4010785102.10
Andorra,481996190.40
Andorra,1484004617.40
Andorra,3249100674.80
Andorra,2373836214.50
Andorra,3146177740.60
Andorra,1239840269.70
Andorra,3346317328.50
Andorra,1007090915.10
Andorra,330073056.70
Andorra,388982992.80
Andorra,1401694155.70
Andorra,3649863492.50
Andorra,1106891024.80
Andorra,327849981.70
Andorra,795489459.10
Andorra,3427235708.60
Andorra,611300146.90
Andorra,3248134606.80
Andorra,721425970.10
Angola,124163174733.00
Angola,41789493189.40
Angola,4059431862.80
Angola,75492416519.80
Angola,115341613335.70
Angola,6152922935.60
Angola,9129594815.60
Angola,10000000000.00
Angola,6445041783.60
Angola,28233699332.60
Angola,131400635026.10
Angola,82470894868.80
Angola,60448887582.70
Angola,11428571428.60
Angola,104115867663.50
Angola,14188949240.50
Angola,12497346041.20
Angola,5652173913.00
Angola,8936079251.40
Angola,84178084131.60
Angola,7526446605.50
Angola,5274509803.90
Angola,19640862550.00
Angola,5039543187.70
Angola,7648377524.10
Angola,6666666666.70
Antigua and Barbuda,423762955.50
Antigua and Barbuda,1204713111.10
Antigua and Barbuda,620037026.10
Antigua and Barbuda,500088880.10
Antigua and Barbuda,1200587518.50
Antigua and Barbuda,153270367.70
Antigua and Barbuda,110066664.70
Antigua and Barbuda,783837838.00
Antigua and Barbuda,1129918370.40
Antigua and Barbuda,997374111.10
Antigua and Barbuda,1135539037.00
Antigua and Barbuda,1206410370.40
Antigua and Barbuda,456537029.00
Antigua and Barbuda,286474069.00
Antigua and Barbuda,201862959.40
Antigua and Barbuda,579851841.60
Antigua and Barbuda,802529319.20
Antigua and Barbuda,773765171.50
Antigua and Barbuda,839996355.50
Antigua and Barbuda,124462960.80
Antigua and Barbuda,541074064.50
Antigua and Barbuda,391570363.50
Antigua and Barbuda,338696290.30
Antigua and Barbuda,137951849.40
Antigua and Barbuda,1347349851.90
Antigua and Barbuda,245896292.00
Antigua and Barbuda,651851840.30
Antigua and Barbuda,898356132.30
Antigua and Barbuda,373403697.10
Antigua and Barbuda,494185176.50
Antigua and Barbuda,1269117037.00
Antigua and Barbuda,1289254333.30
Antigua and Barbuda,410388881.60
Antigua and Barbuda,1135143592.60
Antigua and Barbuda,173511108.00
Argentina,222910837452.40
Argentina,298948250000.00
Argentina,76636898181.00
Argentina,272149750000.00
Argentina,228779383808.00
Argentina,110934444444.40
Argentina,141352367385.60
Argentina,607711914608.40
Argentina,104285714285.70
Argentina,540197457443.50
Argentina,88416666666.70
Argentina,559849040366.10
Argentina,406003733991.10
Argentina,622057981847.40
Argentina,189719990237.70
Argentina,76000000000.00
Argentina,329761479745.80
Argentina,462843782844.30
Argentina,126206818181.80
Argentina,84230769230.80
Argentina,129597154100.50
Argentina,292859000000.00
Argentina,268696750000.00
Argentina,378506370535.20
Argentina,257440000000.00
Argentina,102040287018.70
Argentina,183295704170.30
Argentina,111106190476.20
Argentina,284203750000.00
Argentina,258031750000.00
Argentina,236753564542.80
Argentina,283523000000.00
Argentina,79090000000.00
Argentina,75000000000.00
Argentina,263042487638.30
Armenia,8647936748.00
Armenia,3576615240.40
Armenia,1845482181.50
Armenia,10431217084.30
Armenia,1272577521.80
Armenia,6384451606.10
Armenia,10142111334.50
Armenia,9957890702.00
Armenia,4900469515.10
Armenia,1468317350.00
Armenia,11662040713.90
Armenia,1639492424.40
Armenia,1201313196.50
Armenia,1596968913.20
Armenia,1893726437.40
Armenia,2376335048.40
Armenia,2807061008.70
Armenia,9260284937.80
Armenia,2256838858.40
Armenia,2118467913.40
Armenia,10881605059.40
Armenia,1315158670.50
Armenia,1911563665.40
Armenia,2068526521.90
Armenia,9206301700.40
Aruba,1379888268.20
Aruba,1941094972.10
Aruba,2623726257.00
Aruba,2584463687.20
Aruba,2791960893.90
Aruba,1320670391.10
Aruba,1722798882.70
Aruba,2421474860.30
Aruba,2021301676.00
Aruba,1873452514.00
Aruba,2467703910.60
Aruba,1330167597.80
Aruba,1665363128.50
Aruba,2228279329.60
Aruba,1531843575.40
