movie,year,actor
Platoon,1986,Tom Berenger
Platoon,1986,Keith David
Platoon,1986,Willem Dafoe
Platoon,1986,Forest Whitaker
Platoon,1986,Francesco Quinn
Platoon,1986,Kevin Dillon
Platoon,1986,John C. McGinley
Platoon,1986,Reggie Johnson
Platoon,1986,Mark Moses
Platoon,1986,Corey Glover
Platoon,1986,Johnny Depp
Platoon,1986,Chris Pedersen
Platoon,1986,Bob Orwig
Platoon,1986,Corkey Ford
Platoon,1986,David Neidorf
Platoon,1986,Charlie Sheen
Platoon,1986,Richard Edson
Platoon,1986,Tony Todd
Platoon,1986,Kevin Eshelman
Platoon,1986,James Terry McIlvain
Platoon,1986,J. Adam Glover
Platoon,1986,Ivan Kane
Platoon,1986,Paul Sanchez
Platoon,1986,Dale Dye
Platoon,1986,Peter Hicks
Platoon,1986,Basile Achara
Platoon,1986,Steve Barredo
Platoon,1986,Chris Castillejo
Platoon,1986,Andrew B. Clark
Platoon,1986,Bernardo Manalili
Platoon,1986,Than Rogers
Platoon,1986,Li Thi Van
Platoon,1986,Clarisa Ortacio
Platoon,1986,Romy Sevilla
Platoon,1986,Mathew Westfall
Platoon,1986,Nick Nicholson
Platoon,1986,Warren McLean
Platoon,1986,Li Mai Thao
Platoon,1986,Ron Barracks
American Beauty,1999,Kevin Spacey
American Beauty,1999,Annette Bening
American Beauty,1999,Thora Birch
American Beauty,1999,Wes Bentley
American Beauty,1999,Mena Suvari
American Beauty,1999,Chris Cooper
American Beauty,1999,Peter Gallagher
American Beauty,1999,Allison Janney
American Beauty,1999,Scott Bakula
American Beauty,1999,Sam Robards
American Beauty,1999,Barry Del Sherman
American Beauty,1999,Ara Celi
American Beauty,1999,John Cho
American Beauty,1999,Fort Atkinson
American Beauty,1999,Sue Casey
American Beauty,1999,Kent Faulcon
American Beauty,1999,Brenda Wehle
American Beauty,1999,Lisa Cloud
American Beauty,1999,Alison Faulk
American Beauty,1999,Krista Goodsitt
American Beauty,1999,Lily Houtkin
American Beauty,1999,Carolina Lancaster
American Beauty,1999,Mona Leah
American Beauty,1999,Chekesha Van Putten
American Beauty,1999,Emily Zachary
American Beauty,1999,Nancy Anderson
American Beauty,1999,Reshma Gajjar
American Beauty,1999,Stephanie Rizzo
American Beauty,1999,Heather Joy Sher
American Beauty,1999,Chelsea Hertford
American Beauty,1999,Amber Smith
American Beauty,1999,Joel McCrary
American Beauty,1999,Marissa Jaret Winokur
American Beauty,1999,Dennis Anderson
American Beauty,1999,Matthew Kimbrough
American Beauty,1999,Erin Cathryn Strubbe
Rocky IV,1985,Sylvester Stallone
Rocky IV,1985,Talia Shire
Rocky IV,1985,Burt Young
Rocky IV,1985,Carl Weathers
Rocky IV,1985,Brigitte Nielsen
Rocky IV,1985,Tony Burton
Rocky IV,1985,Michael Pataki
Rocky IV,1985,Dolph Lundgren
Rocky IV,1985,Stu Nahan
Rocky IV,1985,R.J. Adams
Rocky IV,1985,Al Bandiero
Rocky IV,1985,Dominic Barto
Rocky IV,1985,Danial Brown
Rocky IV,1985,James Brown
Rocky IV,1985,Rose Mary Campos
Rocky IV,1985,Jack Carpenter
Rocky IV,1985,Mark De Alessandro
Rocky IV,1985,Marty Denkin
Rocky IV,1985,Lou Fillipo
Rocky IV,1985,James 'Cannonball' Green
Rocky IV,1985,Dean Hammond
Rocky IV,1985,Rocky Krakoff
Rocky IV,1985,Sergei Levin
Rocky IV,1985,Tony Maffatone
Rocky IV,1985,Sylvia Meals
Rocky IV,1985,Dwayne McGee
Rocky IV,1985,LeRoy Neiman
Rocky IV,1985,George Pipasik
Rocky IV,1985,George Rogan
Rocky IV,1985,Barry Tompkins
Rocky IV,1985,Warner Wolf
Rocky IV,1985,Robert Doornick
Rocky IV,1985,Richard Blum
Rocky IV,1985,Gerald Berns
Rocky IV,1985,Ray Glanzmann
Rocky IV,1985,Julie Inouye
Rocky IV,1985,Patrick Pankhurst
Rocky IV,1985,Jean Thoreau
Rocky IV,1985,Jim Bullock
Rocky IV,1985,Frank D'Annibale
Rocky IV,1985,Rose Dursey
Rocky IV,1985,Richard Kelley
Rocky IV,1985,Craig Schaefer
Rocky IV,1985,Jeff Austin
Rocky IV,1985,Leslie Morris
Rocky IV,1985,Bob Giovane
Rocky IV,1985,Julio Herzer
Rocky IV,1985,George Spaventa
Rocky IV,1985,Rolf Williams
Rocky IV,1985,Jim Hodge
The Blues Brothers,1980,John Belushi
The Blues Brothers,1980,Dan Aykroyd
The Blues Brothers,1980,James Brown
The Blues Brothers,1980,Cab Calloway
The Blues Brothers,1980,Ray Charles
The Blues Brothers,1980,Aretha Franklin
The Blues Brothers,1980,Steve Cropper
The Blues Brothers,1980,Donald Dunn
The Blues Brothers,1980,Murphy Dunne
The Blues Brothers,1980,Willie Hall
The Blues Brothers,1980,Tom Malone
The Blues Brothers,1980,Lou Marini
The Blues Brothers,1980,Matt Murphy
The Blues Brothers,1980,Alan Rubin
The Blues Brothers,1980,Carrie Fisher
The Blues Brothers,1980,Henry Gibson
The Blues Brothers,1980,John Candy
The Blues Brothers,1980,Kathleen Freeman
The Blues Brothers,1980,Steve Lawrence
The Blues Brothers,1980,Twiggy
The Blues Brothers,1980,Frank Oz
The Blues Brothers,1980,Jeff Morris
The Blues Brothers,1980,Charles Napier
The Blues Brothers,1980,Steven Williams
The Blues Brothers,1980,Armand Cerami
The Blues Brothers,1980,Tom Erhart
The Blues Brothers,1980,Gerald Walling
The Blues Brothers,1980,Walter Levine
The Blues Brothers,1980,Alonzo Atkins
The Blues Brothers,1980,Chaka Khan
The Blues Brothers,1980,Stephen Bishop
The Blues Brothers,1980,John Landis
The Blues Brothers,1980,Kristi Oleson
The Blues Brothers,1980,Gary McLarty
The Blues Brothers,1980,Joe Cuttone
The Blues Brothers,1980,Layne Britton
